episode,real_score,is_funnel,frame_count,agent_fps,seed,timestamp
342,104.0,0,383,217.8,1404096922,2026-06-29T12:01:27.249151
343,104.0,0,383,216.9,919719396,2026-06-29T12:01:29.206763
344,104.0,0,383,214.8,2101223886,2026-06-29T12:01:31.189874
345,104.0,0,383,217.4,1015598495,2026-06-29T12:01:33.150442
346,104.0,0,383,219.3,1669023231,2026-06-29T12:01:35.083364
347,104.0,0,383,214.1,1004168564,2026-06-29T12:01:37.069436
348,104.0,0,383,216.8,1353836009,2026-06-29T12:01:39.028873
349,104.0,0,383,214.7,1757870288,2026-06-29T12:01:41.001502
350,104.0,0,383,213.8,1191660932,2026-06-29T12:01:42.991891
351,104.0,0,383,210.7,1483080269,2026-06-29T12:01:44.999324
352,104.0,0,383,215.2,985471808,2026-06-29T12:01:46.982191
353,104.0,0,383,216.6,1511867064,2026-06-29T12:01:48.934502
354,104.0,0,383,217.7,101587118,2026-06-29T12:01:50.895451
355,104.0,0,383,218.7,186585882,2026-06-29T12:01:52.845317
356,104.0,0,383,208.2,1758428923,2026-06-29T12:01:54.874951
357,104.0,0,383,212.1,620649255,2026-06-29T12:01:56.876012
358,104.0,0,383,214.9,2065533670,2026-06-29T12:01:58.855029
359,104.0,0,383,215.1,614091085,2026-06-29T12:02:00.831738
360,104.0,0,383,211.7,76476122,2026-06-29T12:02:02.831337
361,104.0,0,383,219.0,2144735936,2026-06-29T12:02:04.771928
362,104.0,0,383,216.8,873434193,2026-06-29T12:02:06.733919
363,104.0,0,383,218.6,407879001,2026-06-29T12:02:08.673042
364,104.0,0,383,218.8,2132504592,2026-06-29T12:02:10.625957
365,104.0,0,383,216.5,303471837,2026-06-29T12:02:12.586439
366,104.0,0,383,216.0,1488028700,2026-06-29T12:02:14.549222
367,104.0,0,383,217.6,544762139,2026-06-29T12:02:16.504425
368,104.0,0,383,218.7,361905352,2026-06-29T12:02:18.446810
369,104.0,0,383,219.0,1414770459,2026-06-29T12:02:20.395574
370,104.0,0,383,222.0,562047869,2026-06-29T12:02:22.317016
371,104.0,0,383,220.4,1100918943,2026-06-29T12:02:24.251338
372,104.0,0,383,215.0,501299418,2026-06-29T12:02:26.230398
373,104.0,0,383,216.2,1815067915,2026-06-29T12:02:28.196871
374,104.0,0,383,220.1,1287776548,2026-06-29T12:02:30.138835
375,104.0,0,383,220.3,43229859,2026-06-29T12:02:32.068782
376,104.0,0,383,218.7,1682504998,2026-06-29T12:02:34.015780
377,104.0,0,383,216.3,167731146,2026-06-29T12:02:35.980971
378,104.0,0,383,214.2,1703185390,2026-06-29T12:02:37.959764
379,104.0,0,383,217.0,33636962,2026-06-29T12:02:39.920078
380,104.0,0,383,223.0,626115318,2026-06-29T12:02:41.822546
381,104.0,0,383,215.9,534241855,2026-06-29T12:02:43.789847
382,104.0,0,383,225.1,244424311,2026-06-29T12:02:45.680284
383,104.0,0,383,210.1,1814516265,2026-06-29T12:02:47.689080
384,104.0,0,383,214.5,1328463366,2026-06-29T12:02:49.671922
385,104.0,0,383,219.5,1739530107,2026-06-29T12:02:51.610766
386,104.0,0,383,215.5,217944983,2026-06-29T12:02:53.584358
387,104.0,0,383,207.6,79848520,2026-06-29T12:02:55.614289
388,104.0,0,383,198.7,489745255,2026-06-29T12:02:57.740640
389,104.0,0,383,196.7,1257879976,2026-06-29T12:02:59.884904
390,104.0,0,383,204.1,420849174,2026-06-29T12:03:01.956432
391,104.0,0,383,219.4,2083340358,2026-06-29T12:03:03.891034
392,104.0,0,383,207.6,1175665381,2026-06-29T12:03:05.933202
393,104.0,0,383,200.4,92921276,2026-06-29T12:03:08.039309
394,104.0,0,383,197.0,1778961882,2026-06-29T12:03:10.175954
395,104.0,0,383,191.4,2080759943,2026-06-29T12:03:12.368833
396,104.0,0,383,223.8,480612002,2026-06-29T12:03:14.269419
397,104.0,0,383,206.0,1300202262,2026-06-29T12:03:16.329572
398,104.0,0,383,201.5,1936371154,2026-06-29T12:03:18.417489
399,104.0,0,383,197.8,21054779,2026-06-29T12:03:20.553992
400,104.0,0,383,186.4,1872593437,2026-06-29T12:03:22.799668
401,104.0,0,383,226.1,105359781,2026-06-29T12:03:24.681453
402,104.0,0,383,214.1,2055792560,2026-06-29T12:03:26.664447
403,104.0,0,383,206.7,463180307,2026-06-29T12:03:28.707091
404,104.0,0,383,199.7,1963243265,2026-06-29T12:03:30.822943
405,104.0,0,383,197.8,257483152,2026-06-29T12:03:32.948088
406,104.0,0,383,203.5,1916859152,2026-06-29T12:03:35.022953
407,104.0,0,383,218.1,228006204,2026-06-29T12:03:36.969135
408,104.0,0,383,207.1,1746103107,2026-06-29T12:03:39.008709
409,104.0,0,383,199.8,2003095781,2026-06-29T12:03:41.111705
410,104.0,0,383,195.2,813481350,2026-06-29T12:03:43.262029
411,104.0,0,383,191.0,164764889,2026-06-29T12:03:45.464755
